Lon Lat vE vN
22.40 36.85 5.30 -11.85
22.45 36.85 5.38 -11.92
22.50 36.85 5.48 -11.99
22.55 36.85 5.58 -12.08
22.60 36.85 5.69 -12.19
22.65 36.85 5.81 -12.31
22.70 36.85 5.93 -12.40
22.75 36.85 6.09 -12.45
22.80 36.85 6.26 -12.48
22.85 36.85 6.30 -12.52
22.90 36.85 6.32 -12.52
22.95 36.85 6.32 -12.47
23.00 36.85 6.33 -12.43
23.05 36.85 6.34 -12.37
23.10 36.85 6.33 -12.31
23.15 36.85 6.33 -12.23
21.65 36.90 3.17 -11.59
21.70 36.90 3.12 -11.43
21.75 36.90 3.21 -11.37
21.80 36.90 3.41 -11.36
21.85 36.90 3.59 -11.37
21.90 36.90 3.73 -11.43
21.95 36.90 3.84 -11.49
22.00 36.90 3.94 -11.63
22.05 36.90 4.19 -11.80
22.10 36.90 4.48 -11.86
22.15 36.90 4.85 -11.81
22.20 36.90 4.99 -11.72
22.25 36.90 5.11 -11.70
22.30 36.90 5.20 -11.74
22.35 36.90 5.31 -11.78
22.40 36.90 5.39 -11.84
22.45 36.90 5.49 -11.90
22.50 36.90 5.59 -11.97
22.55 36.90 5.69 -12.05
22.60 36.90 5.78 -12.16
22.65 36.90 5.89 -12.27
22.70 36.90 6.01 -12.34
22.75 36.90 6.14 -12.38
22.80 36.90 6.26 -12.39
22.85 36.90 6.24 -12.44
22.90 36.90 6.24 -12.45
22.95 36.90 6.25 -12.45
23.00 36.90 6.25 -12.42
23.05 36.90 6.25 -12.38
23.10 36.90 6.25 -12.32
23.15 36.90 6.24 -12.24
21.60 36.95 3.05 -11.37
21.65 36.95 3.04 -11.42
21.70 36.95 3.13 -11.44
21.75 36.95 3.29 -11.40
21.80 36.95 3.44 -11.43
21.85 36.95 3.60 -11.49
21.90 36.95 3.76 -11.55
21.95 36.95 3.94 -11.62
22.00 36.95 4.15 -11.70
22.05 36.95 4.35 -11.78
22.10 36.95 4.56 -11.82
22.15 36.95 4.77 -11.79
22.20 36.95 4.97 -11.72
22.25 36.95 5.14 -11.69
22.30 36.95 5.29 -11.70
22.35 36.95 5.40 -11.74
22.40 36.95 5.48 -11.79
22.45 36.95 5.59 -11.87
22.50 36.95 5.69 -11.94
22.55 36.95 5.78 -12.02
22.60 36.95 5.87 -12.12
22.65 36.95 5.96 -12.21
22.70 36.95 6.04 -12.28
22.75 36.95 6.12 -12.33
22.80 36.95 6.17 -12.36
22.85 36.95 6.20 -12.39
22.90 36.95 6.21 -12.41
22.95 36.95 6.21 -12.43
23.00 36.95 6.21 -12.42
23.05 36.95 6.21 -12.40
23.10 36.95 6.20 -12.38
21.55 37.00 2.86 -11.03
21.60 37.00 2.99 -11.28
21.65 37.00 3.08 -11.38
21.70 37.00 3.20 -11.40
21.75 37.00 3.35 -11.43
21.80 37.00 3.50 -11.49
21.85 37.00 3.66 -11.55
21.90 37.00 3.84 -11.61
21.95 37.00 4.02 -11.67
