Lon Lat vE vN
20.65 37.70 9.10 2.29
20.70 37.70 9.06 1.85
20.75 37.70 9.04 1.35
20.80 37.70 9.02 0.80
20.85 37.70 8.95 0.19
20.90 37.70 8.74 -0.45
20.95 37.70 8.54 -1.09
21.00 37.70 8.32 -1.70
21.05 37.70 8.14 -2.33
21.10 37.70 7.99 -2.98
21.15 37.70 7.89 -3.64
21.20 37.70 7.78 -4.32
21.25 37.70 7.45 -5.22
21.30 37.70 6.98 -6.52
21.35 37.70 6.61 -7.52
21.40 37.70 6.46 -8.04
21.45 37.70 6.28 -8.62
21.50 37.70 6.38 -8.86
21.55 37.70 6.49 -9.03
21.60 37.70 6.59 -9.21
21.65 37.70 6.65 -9.40
21.70 37.70 6.70 -9.54
21.75 37.70 6.76 -9.67
21.80 37.70 6.81 -9.79
21.85 37.70 6.87 -9.90
21.90 37.70 6.92 -9.94
21.95 37.70 6.95 -10.04
22.00 37.70 7.02 -10.22
22.05 37.70 7.10 -10.36
22.10 37.70 7.15 -10.52
22.15 37.70 7.21 -10.68
22.20 37.70 7.26 -10.84
22.25 37.70 7.31 -11.00
22.30 37.70 7.36 -11.22
22.35 37.70 7.39 -11.28
22.40 37.70 7.41 -11.33
22.45 37.70 7.42 -11.39
22.50 37.70 7.41 -11.45
22.55 37.70 7.40 -11.51
22.60 37.70 7.39 -11.56
22.65 37.70 7.37 -11.62
22.70 37.70 7.35 -11.67
22.75 37.70 7.32 -11.67
22.80 37.70 7.33 -11.64
22.85 37.70 7.48 -11.72
22.90 37.70 7.56 -11.74
22.95 37.70 7.62 -11.76
23.00 37.70 7.65 -11.76
23.05 37.70 7.65 -11.76
23.10 37.70 7.70 -11.74
23.15 37.70 7.74 -11.69
23.20 37.70 7.78 -11.66
23.25 37.70 7.81 -11.62
23.30 37.70 7.84 -11.58
23.35 37.70 7.89 -11.51
23.40 37.70 7.96 -11.40
23.45 37.70 8.01 -11.33
23.50 37.70 8.00 -11.42
23.55 37.70 7.99 -11.50
23.80 37.70 8.27 -11.15
23.85 37.70 8.25 -11.17
23.90 37.70 8.24 -11.22
23.95 37.70 8.20 -11.31
24.00 37.70 8.16 -11.40
24.05 37.70 8.13 -11.50
24.10 37.70 8.12 -11.59
24.15 37.70 8.11 -11.68
20.65 37.75 9.65 2.26
20.70 37.75 9.67 1.82
20.75 37.75 9.73 1.33
20.80 37.75 9.85 0.79
20.85 37.75 10.03 0.19
20.90 37.75 9.94 -0.42
20.95 37.75 9.47 -1.05
21.00 37.75 9.17 -1.69
21.05 37.75 8.92 -2.32
21.10 37.75 8.73 -2.97
21.15 37.75 8.57 -3.61
21.20 37.75 8.44 -4.21
21.25 37.75 8.30 -4.90
21.30 37.75 7.99 -5.86
21.35 37.75 7.26 -7.11
21.40 37.75 7.02 -7.82
21.45 37.75 6.93 -8.30
21.50 37.75 6.87 -8.67
21.55 37.75 6.89 -8.90
21.60 37.75 6.94 -9.07
21.65 37.75 6.99 -9.25
21.70 37.75 7.04 -9.39
21.75 37.75 7.09 -9.52
21.80 37.75 7.13 -9.64
21.85 37.75 7.17 -9.74
21.90 37.75 7.21 -9.83
21.95 37.75 7.20 -9.94
22.00 37.75 7.28 -10.10
22.05 37.75 7.34 -10.27
22.10 37.75 7.40 -10.44
22.15 37.75 7.46 -10.60
22.20 37.75 7.52 -10.76
22.25 37.75 7.60 -10.91
22.30 37.75 7.62 -11.04
22.35 37.75 7.60 -11.17
22.40 37.75 7.59 -11.26
22.45 37.75 7.59 -11.34
22.50 37.75 7.57 -11.40
22.55 37.75 7.54 -11.45
22.60 37.75 7.53 -11.50
22.65 37.75 7.48 -11.54
22.70 37.75 7.49 -11.60
22.75 37.75 7.45 -11.62
22.80 37.75 7.53 -11.65
22.85 37.75 7.62 -11.70
22.90 37.75 7.65 -11.71
22.95 37.75 7.70 -11.73
23.00 37.75 7.71 -11.69
23.05 37.75 7.72 -11.65
23.10 37.75 7.74 -11.60
23.15 37.75 7.78 -11.56
23.20 37.75 7.82 -11.51
23.25 37.75 7.86 -11.49
23.30 37.75 7.90 -11.45
23.35 37.75 7.96 -11.38
23.40 37.75 8.06 -11.23
23.45 37.75 8.15 -11.05
23.50 37.75 8.12 -11.16
23.55 37.75 8.12 -11.23
23.70 37.75 8.18 -10.98
23.75 37.75 8.19 -11.05
23.80 37.75 8.25 -11.13
23.85 37.75 8.27 -11.18
23.90 37.75 8.32 -11.22
23.95 37.75 8.26 -11.28
24.00 37.75 8.23 -11.39
24.05 37.75 8.21 -11.50
24.10 37.75 8.20 -11.61
24.15 37.75 8.19 -11.69
20.60 37.80 10.08 2.75
20.65 37.80 10.12 2.30
20.70 37.80 10.15 1.83
20.75 37.80 10.20 1.31
20.80 37.80 10.30 0.75
20.85 37.80 10.50 0.18
20.90 37.80 10.65 -0.39
20.95 37.80 10.19 -0.98
21.00 37.80 9.86 -1.62
21.05 37.80 9.59 -2.29
21.10 37.80 9.36 -2.94
21.15 37.80 9.18 -3.58
21.20 37.80 9.04 -4.18
21.25 37.80 8.92 -4.75
21.30 37.80 8.69 -5.34
21.35 37.80 8.15 -6.49
21.40 37.80 7.62 -7.56
21.45 37.80 7.43 -8.08
21.50 37.80 7.34 -8.47
21.55 37.80 7.32 -8.73
21.60 37.80 7.33 -8.92
21.65 37.80 7.36 -9.09
21.70 37.80 7.39 -9.24
21.75 37.80 7.42 -9.38
21.80 37.80 7.45 -9.50
21.85 37.80 7.48 -9.62
21.90 37.80 7.51 -9.73
21.95 37.80 7.54 -9.87
22.00 37.80 7.57 -10.03
22.05 37.80 7.61 -10.19
22.10 37.80 7.65 -10.36
22.15 37.80 7.69 -10.53
22.20 37.80 7.74 -10.69
22.25 37.80 7.79 -10.83
22.30 37.80 7.82 -10.95
22.35 37.80 7.84 -11.05
22.40 37.80 7.86 -11.17
22.45 37.80 7.84 -11.27
22.50 37.80 7.80 -11.34
22.55 37.80 7.75 -11.40
22.60 37.80 7.72 -11.46
22.65 37.80 7.72 -11.53
22.70 37.80 7.73 -11.58
22.75 37.80 7.73 -11.61
22.80 37.80 7.75 -11.64
22.85 37.80 7.77 -11.67
22.90 37.80 7.77 -11.70
22.95 37.80 7.78 -11.69
23.00 37.80 7.79 -11.61
23.05 37.80 7.79 -11.54
23.10 37.80 7.80 -11.48
23.15 37.80 7.83 -11.42
23.20 37.80 7.87 -11.37
23.25 37.80 7.92 -11.32
23.30 37.80 7.96 -11.25
23.35 37.80 8.00 -11.18
23.40 37.80 8.05 -11.09
23.45 37.80 8.09 -11.04
23.50 37.80 8.15 -11.00
23.55 37.80 8.18 -10.97
23.60 37.80 8.22 -10.90
23.65 37.80 8.21 -10.90
23.70 37.80 8.22 -10.96
23.75 37.80 8.24 -11.04
23.80 37.80 8.25 -11.12
23.85 37.80 8.28 -11.18
23.90 37.80 8.29 -11.22
23.95 37.80 8.29 -11.24
24.00 37.80 8.28 -11.37
24.05 37.80 8.28 -11.53
24.10 37.80 8.28 -11.64
24.15 37.80 8.27 -11.72
20.60 37.85 10.57 2.81
20.65 37.85 10.57 2.38
20.70 37.85 10.57 1.89
20.75 37.85 10.58 1.35
20.80 37.85 10.58 0.78
20.85 37.85 10.55 0.20
20.90 37.85 10.49 -0.36
20.95 37.85 10.41 -0.95
21.00 37.85 10.25 -1.60
21.05 37.85 10.05 -2.27
21.10 37.85 9.84 -2.95
21.15 37.85 9.67 -3.60
21.20 37.85 9.52 -4.16
21.25 37.85 9.36 -4.66
21.30 37.85 9.20 -5.19
21.35 37.85 8.93 -5.78
21.40 37.85 8.38 -6.86
21.45 37.85 7.93 -7.83
21.50 37.85 7.79 -8.25
21.55 37.85 7.73 -8.55
21.60 37.85 7.72 -8.77
21.65 37.85 7.73 -8.95
21.70 37.85 7.73 -9.10
21.75 37.85 7.74 -9.24
21.80 37.85 7.74 -9.39
21.85 37.85 7.75 -9.53
21.90 37.85 7.77 -9.66
21.95 37.85 7.80 -9.80
22.00 37.85 7.83 -9.95
22.05 37.85 7.86 -10.10
22.10 37.85 7.89 -10.27
22.15 37.85 7.92 -10.44
22.20 37.85 7.94 -10.60
22.25 37.85 7.96 -10.74
22.30 37.85 7.99 -10.87
22.35 37.85 8.03 -11.00
22.40 37.85 8.12 -11.11
22.45 37.85 8.09 -11.23
22.50 37.85 8.01 -11.28
22.55 37.85 7.96 -11.35
22.60 37.85 7.93 -11.44
22.65 37.85 7.92 -11.51
22.70 37.85 7.92 -11.56
22.75 37.85 7.91 -11.58
22.80 37.85 7.90 -11.59
22.85 37.85 7.89 -11.61
22.90 37.85 7.87 -11.62
22.95 37.85 7.88 -11.54
23.00 37.85 7.89 -11.42
23.05 37.85 7.90 -11.32
23.10 37.85 7.92 -11.25
23.15 37.85 7.93 -11.19
23.20 37.85 7.95 -11.14
23.25 37.85 7.98 -11.09
23.30 37.85 8.01 -11.04
23.35 37.85 8.04 -10.99
23.40 37.85 8.07 -10.95
23.45 37.85 8.12 -10.91
23.50 37.85 8.16 -10.90
23.55 37.85 8.20 -10.88
23.60 37.85 8.22 -10.86
23.65 37.85 8.25 -10.88
23.70 37.85 8.27 -10.94
23.75 37.85 8.29 -11.03
23.80 37.85 8.30 -11.11
23.85 37.85 8.32 -11.18
23.90 37.85 8.33 -11.24
23.95 37.85 8.35 -11.30
24.00 37.85 8.36 -11.44
24.05 37.85 8.37 -11.58
24.10 37.85 8.37 -11.69
24.15 37.85 8.37 -11.79
20.60 37.90 11.05 3.01
20.65 37.90 11.05 2.52
20.70 37.90 11.05 1.98
20.75 37.90 11.04 1.41
20.80 37.90 11.01 0.84
20.85 37.90 10.95 0.25
20.90 37.90 10.87 -0.34
20.95 37.90 10.77 -0.94
21.00 37.90 10.63 -1.57
21.05 37.90 10.46 -2.24
21.10 37.90 10.26 -2.97
21.15 37.90 10.04 -3.71
21.20 37.90 9.91 -4.12
21.25 37.90 9.74 -4.66
21.30 37.90 9.54 -5.13
21.35 37.90 9.34 -5.61
21.40 37.90 9.10 -6.20
21.45 37.90 8.60 -7.25
21.50 37.90 8.26 -8.04
21.55 37.90 8.14 -8.38
21.60 37.90 8.11 -8.63
21.65 37.90 8.09 -8.81
21.70 37.90 8.06 -8.97
21.75 37.90 8.03 -9.12
21.80 37.90 7.98 -9.30
21.85 37.90 7.97 -9.45
21.90 37.90 8.01 -9.58
21.95 37.90 8.04 -9.73
22.00 37.90 8.07 -9.88
22.05 37.90 8.10 -9.99
22.10 37.90 8.13 -10.15
22.15 37.90 8.15 -10.32
22.20 37.90 8.15 -10.51
22.25 37.90 8.16 -10.67
22.30 37.90 8.17 -10.80
22.35 37.90 8.18 -10.93
22.40 37.90 8.18 -11.05
22.45 37.90 8.17 -11.15
22.50 37.90 8.15 -11.23
22.55 37.90 8.12 -11.31
22.60 37.90 8.11 -11.40
22.65 37.90 8.10 -11.51
22.70 37.90 8.09 -11.58
22.75 37.90 8.04 -11.56
22.80 37.90 7.97 -11.55
22.85 37.90 7.98 -11.50
22.90 37.90 8.00 -11.40
22.95 37.90 8.01 -11.30
23.00 37.90 8.01 -11.18
23.05 37.90 8.02 -11.07
23.10 37.90 8.03 -10.98
23.15 37.90 8.04 -10.92
23.20 37.90 8.04 -10.89
23.25 37.90 8.06 -10.85
23.30 37.90 8.08 -10.82
23.35 37.90 8.10 -10.79
23.40 37.90 8.13 -10.77
23.45 37.90 8.17 -10.77
23.50 37.90 8.20 -10.77
23.55 37.90 8.24 -10.77
23.60 37.90 8.28 -10.78
23.65 37.90 8.32 -10.83
23.70 37.90 8.37 -10.91
23.75 37.90 8.37 -11.00
23.80 37.90 8.38 -11.10
23.85 37.90 8.38 -11.19
23.90 37.90 8.40 -11.29
23.95 37.90 8.42 -11.40
24.00 37.90 8.45 -11.52
24.05 37.90 8.47 -11.66
24.10 37.90 8.49 -11.76
24.15 37.90 8.49 -11.88
20.60 37.95 11.66 3.31
20.65 37.95 11.67 2.69
20.70 37.95 11.67 2.07
20.75 37.95 11.64 1.48
20.80 37.95 11.58 0.89
20.85 37.95 11.51 0.30
20.90 37.95 11.41 -0.28
20.95 37.95 11.29 -0.88
21.00 37.95 11.15 -1.51
21.05 37.95 10.99 -2.17
21.10 37.95 10.79 -2.91
21.15 37.95 10.57 -3.58
21.20 37.95 10.38 -3.96
21.25 37.95 10.17 -4.47
21.30 37.95 9.97 -5.00
21.35 37.95 9.64 -5.61
21.40 37.95 9.62 -6.08
21.45 37.95 9.39 -6.74
21.50 37.95 8.78 -7.68
21.55 37.95 8.59 -8.18
21.60 37.95 8.51 -8.52
21.65 37.95 8.43 -8.72
21.70 37.95 8.37 -8.86
21.75 37.95 8.33 -9.01
21.80 37.95 8.28 -9.17
21.85 37.95 8.25 -9.32
21.90 37.95 8.23 -9.46
21.95 37.95 8.25 -9.63
22.00 37.95 8.28 -9.80
22.05 37.95 8.34 -9.95
22.10 37.95 8.34 -10.10
22.15 37.95 8.35 -10.26
22.20 37.95 8.36 -10.42
22.25 37.95 8.37 -10.55
22.30 37.95 8.38 -10.67
22.35 37.95 8.38 -10.79
22.40 37.95 8.34 -10.97
22.45 37.95 8.31 -11.11
22.50 37.95 8.28 -11.17
22.55 37.95 8.26 -11.28
22.60 37.95 8.25 -11.44
22.65 37.95 8.25 -11.51
22.70 37.95 8.26 -11.53
22.75 37.95 8.17 -11.42
22.80 37.95 8.08 -11.34
22.85 37.95 8.08 -11.21
22.90 37.95 8.09 -11.15
22.95 37.95 8.10 -11.07
23.00 37.95 8.07 -10.90
23.05 37.95 8.08 -10.80
23.10 37.95 8.11 -10.69
23.15 37.95 8.13 -10.64
23.20 37.95 8.12 -10.64
23.25 37.95 8.13 -10.62
23.30 37.95 8.15 -10.60
23.35 37.95 8.17 -10.59
23.40 37.95 8.21 -10.59
23.45 37.95 8.24 -10.61
23.50 37.95 8.28 -10.63
23.55 37.95 8.31 -10.66
23.60 37.95 8.34 -10.71
23.65 37.95 8.39 -10.76
23.70 37.95 8.48 -10.86
23.75 37.95 8.46 -10.96
23.80 37.95 8.45 -11.08
23.85 37.95 8.46 -11.20
23.90 37.95 8.46 -11.35
23.95 37.95 8.51 -11.49
24.00 37.95 8.56 -11.64
24.05 37.95 8.59 -11.75
24.10 37.95 8.61 -11.85
24.15 37.95 8.63 -11.92
24.20 37.95 8.69 -11.94
24.25 37.95 8.69 -11.93
20.55 38.00 12.48 4.61
20.60 38.00 12.51 3.65
20.65 38.00 12.51 2.83
20.70 38.00 12.47 2.15
20.75 38.00 12.39 1.53
20.80 38.00 12.29 0.94
20.85 38.00 12.18 0.36
20.90 38.00 12.05 -0.21
20.95 38.00 11.90 -0.80
21.00 38.00 11.75 -1.41
21.05 38.00 11.58 -2.03
21.10 38.00 11.39 -2.65
21.15 38.00 11.17 -3.18
21.20 38.00 10.93 -3.70
21.25 38.00 10.72 -4.24
21.30 38.00 10.51 -4.82
21.35 38.00 10.31 -5.38
21.40 38.00 10.14 -5.95
21.45 38.00 9.93 -6.48
21.50 38.00 9.58 -7.26
21.55 38.00 9.04 -8.10
21.60 38.00 8.82 -8.39
21.65 38.00 8.74 -8.59
21.70 38.00 8.64 -8.73
21.75 38.00 8.57 -8.86
21.80 38.00 8.51 -9.02
21.85 38.00 8.47 -9.17
21.90 38.00 8.45 -9.33
21.95 38.00 8.45 -9.52
22.00 38.00 8.48 -9.72
22.05 38.00 8.51 -9.89
22.10 38.00 8.53 -10.05
22.15 38.00 8.55 -10.20
22.20 38.00 8.56 -10.33
22.25 38.00 8.58 -10.43
22.30 38.00 8.58 -10.52
22.35 38.00 8.59 -10.63
22.40 38.00 8.54 -10.82
22.45 38.00 8.45 -10.98
22.50 38.00 8.42 -11.09
22.55 38.00 8.40 -11.24
22.60 38.00 8.37 -11.34
22.65 38.00 8.34 -11.36
22.70 38.00 8.31 -11.24
22.75 38.00 8.29 -11.13
22.80 38.00 8.14 -10.96
22.85 38.00 8.07 -10.86
22.90 38.00 8.05 -10.74
22.95 38.00 8.07 -10.64
23.00 38.00 8.06 -10.61
23.05 38.00 8.07 -10.54
23.10 38.00 8.11 -10.48
23.15 38.00 8.15 -10.43
23.20 38.00 8.16 -10.40
23.25 38.00 8.17 -10.39
23.30 38.00 8.20 -10.39
23.35 38.00 8.24 -10.39
23.40 38.00 8.29 -10.42
23.45 38.00 8.33 -10.46
23.50 38.00 8.38 -10.50
23.55 38.00 8.40 -10.54
23.60 38.00 8.41 -10.55
23.65 38.00 8.44 -10.67
23.70 38.00 8.48 -10.82
23.75 38.00 8.51 -10.93
23.80 38.00 8.53 -11.05
23.85 38.00 8.51 -11.24
23.90 38.00 8.53 -11.45
23.95 38.00 8.59 -11.73
24.00 38.00 8.68 -11.79
24.05 38.00 8.72 -11.89
24.10 38.00 8.72 -11.92
24.15 38.00 8.71 -11.92
24.20 38.00 8.70 -11.91
24.25 38.00 8.70 -11.91
20.50 38.05 13.74 5.46
20.55 38.05 13.71 4.57
20.60 38.05 13.62 3.71
20.65 38.05 13.53 2.91
20.70 38.05 13.41 2.21
20.75 38.05 13.26 1.59
20.80 38.05 13.09 1.01
20.85 38.05 12.91 0.44
20.90 38.05 12.73 -0.12
20.95 38.05 12.55 -0.69
21.00 38.05 12.35 -1.27
21.05 38.05 12.15 -1.84
21.10 38.05 11.95 -2.38
21.15 38.05 11.72 -2.91
21.20 38.05 11.50 -3.43
21.25 38.05 11.27 -3.98
21.30 38.05 11.06 -4.57
21.35 38.05 10.85 -5.19
21.40 38.05 10.67 -5.78
21.45 38.05 10.48 -6.61
21.50 38.05 10.16 -6.96
21.55 38.05 9.58 -7.60
21.60 38.05 9.14 -8.26
21.65 38.05 8.97 -8.44
21.70 38.05 8.83 -8.56
21.75 38.05 8.74 -8.66
21.80 38.05 8.68 -8.78
21.85 38.05 8.65 -8.92
21.90 38.05 8.65 -9.14
21.95 38.05 8.72 -9.42
22.00 38.05 8.66 -9.64
22.05 38.05 8.66 -9.85
22.10 38.05 8.68 -10.04
22.15 38.05 8.71 -10.18
22.20 38.05 8.74 -10.28
22.25 38.05 8.76 -10.33
22.30 38.05 8.75 -10.37
22.35 38.05 8.76 -10.43
22.40 38.05 8.70 -10.61
22.45 38.05 8.60 -10.70
22.50 38.05 8.54 -10.90
22.55 38.05 8.51 -11.09
22.60 38.05 8.42 -11.06
22.65 38.05 8.34 -11.04
22.70 38.05 8.21 -10.94
22.75 38.05 8.11 -10.76
22.80 38.05 8.00 -10.59
22.85 38.05 7.92 -10.48
22.90 38.05 7.91 -10.39
22.95 38.05 7.92 -10.34
23.00 38.05 7.93 -10.33
23.05 38.05 7.97 -10.31
23.10 38.05 8.03 -10.27
23.15 38.05 8.09 -10.21
23.20 38.05 8.14 -10.16
23.25 38.05 8.19 -10.16
23.30 38.05 8.24 -10.20
23.35 38.05 8.29 -10.25
23.40 38.05 8.35 -10.30
23.45 38.05 8.43 -10.34
23.50 38.05 8.46 -10.40
23.55 38.05 8.51 -10.43
23.60 38.05 8.50 -10.50
23.65 38.05 8.53 -10.64
23.70 38.05 8.56 -10.78
23.75 38.05 8.64 -10.91
23.80 38.05 8.60 -11.09
23.85 38.05 8.59 -11.20
23.90 38.05 8.61 -11.67
23.95 38.05 8.72 -12.04
24.00 38.05 8.75 -12.25
24.05 38.05 8.77 -12.07
24.10 38.05 8.75 -11.96
24.15 38.05 8.73 -11.89
24.20 38.05 8.72 -11.86
24.25 38.05 8.71 -11.85
20.45 38.10 15.18 5.62
20.50 38.10 15.04 5.19
20.55 38.10 14.91 4.55
20.60 38.10 14.74 3.73
20.65 38.10 14.70 2.91
20.70 38.10 14.38 2.28
20.75 38.10 14.10 1.70
20.80 38.10 13.85 1.11
20.85 38.10 13.60 0.55
20.90 38.10 13.36 -0.01
20.95 38.10 13.12 -0.56
21.00 38.10 12.90 -1.11
21.05 38.10 12.68 -1.64
21.10 38.10 12.47 -2.15
21.15 38.10 12.25 -2.64
21.20 38.10 12.03 -3.15
21.25 38.10 11.81 -3.70
21.30 38.10 11.57 -4.30
21.35 38.10 11.33 -4.94
21.40 38.10 11.13 -5.54
21.45 38.10 10.91 -6.08
21.50 38.10 10.61 -6.54
21.55 38.10 10.34 -7.11
21.60 38.10 9.48 -7.92
21.65 38.10 9.14 -8.24
21.70 38.10 8.95 -8.32
21.75 38.10 8.84 -8.36
21.80 38.10 8.80 -8.43
21.85 38.10 8.77 -8.64
21.90 38.10 8.79 -8.93
21.95 38.10 8.81 -9.25
22.00 38.10 8.81 -9.55
22.05 38.10 8.83 -9.88
22.10 38.10 8.83 -10.09
22.15 38.10 8.85 -10.23
22.20 38.10 8.88 -10.27
22.25 38.10 8.89 -10.17
22.30 38.10 8.86 -10.09
22.35 38.10 8.83 -10.11
22.40 38.10 8.78 -10.20
22.45 38.10 8.70 -10.32
22.50 38.10 8.62 -10.50
22.55 38.10 8.55 -10.69
22.60 38.10 8.48 -10.62
22.65 38.10 8.34 -10.56
22.70 38.10 8.17 -10.31
22.75 38.10 8.06 -9.97
22.80 38.10 8.00 -9.76
22.85 38.10 7.96 -9.65
22.90 38.10 7.87 -9.71
22.95 38.10 7.81 -9.75
23.00 38.10 7.82 -9.79
23.05 38.10 7.86 -9.85
23.10 38.10 7.92 -9.91
23.15 38.10 7.99 -9.88
23.20 38.10 8.08 -9.87
23.25 38.10 8.18 -9.94
23.30 38.10 8.27 -10.01
23.35 38.10 8.36 -10.11
23.40 38.10 8.43 -10.17
23.45 38.10 8.49 -10.23
23.50 38.10 8.54 -10.31
23.55 38.10 8.57 -10.41
23.60 38.10 8.60 -10.50
23.65 38.10 8.60 -10.62
23.70 38.10 8.59 -10.80
23.75 38.10 8.64 -10.93
23.80 38.10 8.64 -11.14
23.85 38.10 8.62 -11.57
23.90 38.10 8.63 -12.22
23.95 38.10 8.61 -13.51
24.00 38.10 8.71 -12.54
24.05 38.10 8.71 -12.16
24.10 38.10 8.71 -11.93
24.15 38.10 8.71 -11.84
24.20 38.10 8.70 -11.81
24.25 38.10 8.70 -11.80
20.35 38.15 16.52 5.54
20.40 38.15 16.39 5.54
20.45 38.15 16.01 5.39
20.50 38.15 15.93 4.95
20.55 38.15 15.79 4.52
20.60 38.15 15.66 3.93
20.65 38.15 15.33 3.15
20.70 38.15 15.04 2.50
20.75 38.15 14.78 1.95
20.80 38.15 14.44 1.31
20.85 38.15 14.14 0.71
20.90 38.15 13.85 0.14
20.95 38.15 13.59 -0.41
21.00 38.15 13.36 -0.94
21.05 38.15 13.15 -1.45
21.10 38.15 12.96 -1.93
21.15 38.15 12.77 -2.41
21.20 38.15 12.57 -2.88
21.25 38.15 12.36 -3.39
21.30 38.15 12.10 -3.97
21.35 38.15 11.80 -4.67
21.40 38.15 11.54 -5.35
21.45 38.15 11.37 -5.86
21.50 38.15 11.22 -6.18
21.55 38.15 10.97 -6.44
21.60 38.15 10.16 -7.12
21.65 38.15 9.23 -7.80
21.70 38.15 8.91 -7.92
21.75 38.15 8.78 -7.99
21.80 38.15 8.79 -8.10
21.85 38.15 8.84 -8.34
21.90 38.15 8.92 -8.70
21.95 38.15 8.99 -9.09
22.00 38.15 9.03 -9.52
22.05 38.15 8.99 -9.91
22.10 38.15 8.96 -10.13
22.15 38.15 8.95 -10.29
22.20 38.15 8.88 -10.26
22.25 38.15 8.81 -9.98
22.30 38.15 8.87 -9.67
22.35 38.15 8.86 -9.57
22.40 38.15 8.87 -9.62
22.45 38.15 8.80 -9.71
22.50 38.15 8.72 -9.69
22.55 38.15 8.65 -9.47
22.60 38.15 8.62 -9.17
22.65 38.15 8.71 -8.32
22.70 38.15 8.87 -7.34
22.75 38.15 8.89 -7.07
22.80 38.15 8.83 -7.00
22.85 38.15 8.68 -7.00
22.90 38.15 8.45 -7.19
22.95 38.15 8.28 -7.43
23.00 38.15 8.15 -7.76
23.05 38.15 8.08 -8.15
23.10 38.15 8.06 -8.62
23.15 38.15 8.11 -9.08
23.20 38.15 8.19 -9.46
23.25 38.15 8.30 -9.67
23.30 38.15 8.40 -9.89
23.35 38.15 8.47 -9.96
23.40 38.15 8.53 -10.03
23.45 38.15 8.59 -10.12
23.50 38.15 8.68 -10.31
23.55 38.15 8.70 -10.38
23.60 38.15 8.69 -10.40
23.65 38.15 8.70 -10.50
23.70 38.15 8.71 -10.64
23.75 38.15 8.73 -10.85
23.80 38.15 8.75 -11.11
23.85 38.15 8.76 -11.48
23.90 38.15 8.74 -11.99
23.95 38.15 8.72 -12.25
24.00 38.15 8.67 -12.24
24.05 38.15 8.67 -11.97
24.10 38.15 8.69 -11.81
24.15 38.15 8.71 -11.74
24.20 38.15 8.72 -11.72
24.25 38.15 8.72 -11.73
20.30 38.20 16.90 5.36
20.35 38.20 16.85 5.64
20.40 38.20 16.58 5.46
20.45 38.20 16.54 5.31
20.50 38.20 16.33 4.84
20.55 38.20 16.22 4.48
20.60 38.20 16.10 4.09
20.65 38.20 15.76 3.42
20.70 38.20 15.46 2.77
20.75 38.20 15.17 2.16
20.80 38.20 14.89 1.54
20.85 38.20 14.58 0.91
20.90 38.20 14.29 0.32
20.95 38.20 14.03 -0.24
21.00 38.20 13.80 -0.77
21.05 38.20 13.61 -1.27
21.10 38.20 13.44 -1.74
21.15 38.20 13.29 -2.20
21.20 38.20 13.13 -2.64
21.25 38.20 12.98 -3.09
21.30 38.20 12.81 -3.59
21.35 38.20 12.60 -4.26
21.40 38.20 12.16 -5.18
21.45 38.20 12.08 -5.17
21.50 38.20 11.91 -4.94
21.55 38.20 11.77 -4.43
21.60 38.20 11.33 -4.34
21.65 38.20 10.30 -5.80
21.70 38.20 8.94 -7.14
21.75 38.20 8.63 -7.42
21.80 38.20 8.76 -7.75
21.85 38.20 8.89 -8.08
21.90 38.20 9.11 -8.49
21.95 38.20 9.36 -9.02
22.00 38.20 9.47 -9.43
22.05 38.20 9.55 -9.88
22.10 38.20 9.28 -9.99
22.15 38.20 9.04 -10.15
22.20 38.20 8.68 -9.87
22.25 38.20 8.64 -9.10
22.30 38.20 8.72 -8.52
22.35 38.20 8.87 -8.23
22.40 38.20 9.00 -7.92
22.45 38.20 9.19 -7.02
22.50 38.20 9.41 -5.86
22.55 38.20 9.42 -5.48
22.60 38.20 9.29 -5.40
22.65 38.20 9.14 -5.62
22.70 38.20 9.07 -5.97
22.75 38.20 9.05 -6.13
22.80 38.20 8.98 -6.24
22.85 38.20 8.87 -6.38
22.90 38.20 8.71 -6.59
22.95 38.20 8.57 -6.95
23.00 38.20 8.52 -7.37
23.05 38.20 8.46 -7.85
23.10 38.20 8.44 -8.30
23.15 38.20 8.41 -8.83
23.20 38.20 8.45 -9.20
23.25 38.20 8.51 -9.52
23.30 38.20 8.61 -9.65
23.35 38.20 8.59 -9.79
23.40 38.20 8.66 -9.81
23.45 38.20 8.72 -9.92
23.50 38.20 8.76 -10.07
23.55 38.20 8.79 -10.18
23.60 38.20 8.80 -10.24
23.65 38.20 8.82 -10.36
23.70 38.20 8.84 -10.52
23.75 38.20 8.86 -10.73
23.80 38.20 8.89 -10.97
23.85 38.20 8.91 -11.23
23.90 38.20 8.90 -11.51
23.95 38.20 8.85 -11.74
24.00 38.20 8.80 -11.72
24.05 38.20 8.78 -11.66
24.10 38.20 8.79 -11.60
24.15 38.20 8.80 -11.58
24.20 38.20 8.80 -11.60
24.25 38.20 8.80 -11.65
20.30 38.25 16.66 5.39
20.35 38.25 16.64 5.49
20.40 38.25 16.63 5.35
20.45 38.25 16.56 5.13
20.50 38.25 16.45 4.82
20.55 38.25 16.29 4.48
20.60 38.25 16.14 4.08
20.65 38.25 16.00 3.59
20.70 38.25 15.80 2.96
20.75 38.25 15.57 2.31
20.80 38.25 15.31 1.69
20.85 38.25 15.03 1.08
20.90 38.25 14.74 0.49
20.95 38.25 14.49 -0.07
21.00 38.25 14.27 -0.60
